CI,ISF,NASDAQ,NYSE,Other,one_m_diff_volume,three_m_diff_volume,six_m_diff_volume,one_y_diff_volume,two_y_diff_volume,three_y_diff_volume,one_m_diff_shareprice,three_m_diff_shareprice,six_m_diff_shareprice,one_y_diff_shareprice,two_y_diff_shareprice,three_y_diff_shareprice,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),Sharing Firm Introduced,Relatedness with Sharing Firm,Exchange
0,0,1,0,0,-37.34643734643734,-66.92781577300387,-56.78093867938473,-40.93804284887088,-33.022829655646326,28.52370626501787,11.46209386281588,2.6600166251039092,-19.3337687785761,-8.3147735708983,26.796714579055436,-60.16129032258064,2004-12-31,2004-12-31,2004-12-31,2004-12-31,2004-12-31,2004-12-31,No,Less Closely Related,NASDAQ
0,1,1,0,0,-15.813953488372093,16.02143182854537,12.859097127222983,-6.386228910168719,27.16598267213862,166.16933424532604,-15.708502024291496,-16.275303643724694,-17.327935222672057,7.773279352226728,13.036437246963573,-41.29554655870445,2005-01-31,2005-12-31,2006-12-31,2005-03-31,2007-12-31,2005-06-30,Yes,Less Closely Related,NASDAQ
1,0,0,0,1,-48.84137322573112,-87.0036981614666,-56.90710382513661,-38.77424263598391,-65.68678641047062,-24.512769460504654,5.897291196388262,-10.08738194610816,-7.881019281077418,-7.675276752767533,0.3235927233844941,8.304285421365599,2012-06-30,2012-06-30,2012-06-30,2012-06-30,2012-06-30,2012-06-30,No,Closely Related,Other
1,1,0,0,1,84.1262997717474,109.29748922140503,161.99594217600813,338.8587370022825,39.2594471214811,34.85670809028658,-2.905745578975407,0.5651619055632718,7.586912925799716,20.177542176784883,39.91403368533245,40.58507579900991,2012-07-30,2013-06-30,2014-06-30,2012-09-30,2015-06-30,2012-12-30,Yes,Closely Related,Other
0,0,0,1,0,56.66518393309906,-58.64718859964799,322.50866733046223,187.19523133878045,567.8150894025295,609.1778587680969,1.0560375480017088,6.6894402943053395,44.08618504435995,15.91891671425075,150.0087966220971,915.0357142857142,2012-06-30,2012-06-30,2012-06-30,2012-06-30,2012-06-30,2012-06-30,No,Less Closely Related,NYSE
0,1,0,1,0,280.5973327579011,-3.7930261017209017,-42.15031842793421,43.64577980062408,21.50829502639133,115.7896530086684,10.446500826853383,12.388726645790088,26.26930790612575,66.51771577354772,81.35885436824883,55.51880651630837,2012-07-30,2013-06-30,2014-06-30,2012-09-30,2015-06-30,2012-12-30,Yes,Less Closely Related,NYSE
1,0,0,1,0,-49.186763881099274,-91.60216897622469,-44.990892531876135,1.2290502793296088,56.88311688311688,150.96952908587258,3.7126910943945672,-2.3643632210165544,12.844884488448848,85.5840208423795,158.95183277794612,362.05405405405406,2006-09-30,2006-09-30,2006-09-30,2006-09-30,2006-09-30,2006-09-30,No,Closely Related,NYSE
1,1,0,1,0,108.6092715231788,-57.395143487858725,70.86092715231787,136.9757174392936,331.96136865342163,186.61810154525386,5.802526906878795,7.82639213851193,21.993448759943842,20.215255030416472,-49.13430042115115,-44.58352831071596,2006-10-30,2007-09-30,2008-09-30,2006-12-30,2009-09-30,2007-03-30,Yes,Closely Related,NYSE
0,0,0,1,0,11.74192761533067,74.8890479599141,42.516041221077195,49.93863022665903,53.300426671128584,-1.3194033065862458,4.785046728971967,22.615923009623806,11.717815862893588,36.865234375,27.177858439201465,44.335736354273934,2006-09-30,2006-09-30,2006-09-30,2006-09-30,2006-09-30,2006-09-30,No,Less Closely Related,NYSE
0,1,0,1,0,-50.22102161100196,-66.18915084042786,-18.57072691552063,26.263370443134686,98.18909626719056,29.36304846103471,3.2821976453799433,1.7481270067784458,-3.817338565822334,3.7103103817338536,8.883339279343556,32.53656796289688,2006-10-30,2007-09-30,2008-09-30,2006-12-30,2009-09-30,2007-03-30,Yes,Less Closely Related,NYSE
1,0,0,1,0,-32.99946811817447,47.6449731739331,-6.018002654858682,67.37299834345666,151.57173980703394,161.91774903464477,8.013355592654431,-6.448814343551176,-9.282108805384173,0.8730901153726258,10.711841204654355,9.661016949152547,2007-08-31,2007-08-31,2007-08-31,2007-08-31,2007-08-31,2007-08-31,No,Closely Related,NYSE
1,1,0,1,0,-44.142026475318566,35.73444265742917,34.879747618458495,46.97204008412718,32.52383603447565,42.63307765268671,0.5564142194744968,2.28748068006183,-1.0200927357032403,-1.5146831530139164,-30.07727975270479,-35.7032457496136,2007-09-30,2008-08-31,2009-08-31,2007-11-30,2010-08-31,2008-02-29,Yes,Closely Related,NYSE
0,0,1,0,0,-70.48400893606066,-87.23928693248119,-39.83273940019807,-60.586317412085656,-69.11509115873264,14.371912661507025,5.925925925925939,-9.433333333333328,17.112068965517253,46.94429421308818,40.77720207253886,210.51428571428573,2007-08-31,2007-08-31,2007-08-31,2007-08-31,2007-08-31,2007-08-31,No,Less Closely Related,NASDAQ
0,1,1,0,0,111.65571671754759,344.8600891940181,183.3316920133369,20.870556126109648,427.2477877351191,-10.884765267793082,-8.391608391608395,14.538093485461903,5.410379094589617,0.44166359955832696,-54.729481045270525,-52.889216047110786,2007-09-30,2008-08-31,2009-08-31,2007-11-30,2010-08-31,2008-02-29,Yes,Less Closely Related,NASDAQ
1,0,0,0,1,150.0,525.0,-19.35483870967742,-90.24960998439937,82.48175182481752,25.0,3.5105701473414594,-5.447948973023568,1.6226415094339701,1.3040752351097256,21.26078799249532,82.22623209653773,2017-01-31,2017-01-31,2017-01-31,2017-01-31,2017-01-31,2017-01-31,No,Closely Related,Other
1,1,0,0,1,-94.39999999999999,30.0,2580.0,-60.0,72.0,-60.0,-8.404505508107446,-5.928951602921161,-8.62730535957422,-11.536081198168098,-14.438668151999016,-5.3874241861616605,2017-02-28,2018-01-31,2019-01-31,2017-04-30,2020-01-31,2017-07-31,Yes,Closely Related,Other
0,0,0,1,0,161.59507854553442,13.64959671646065,85.47394656904743,27.06365722213329,-16.00352733686067,646.9573400250941,-11.428571428571425,6.896551724137938,32.47863247863249,46.919431279620866,85.63985867417212,75.14124293785312,2017-01-31,2017-01-31,2017-01-31,2017-01-31,2017-01-31,2017-01-31,No,Less Closely Related,NYSE
0,1,0,1,0,80.48964851131734,-58.014529878637724,-90.38760340990216,-47.77222525511276,-98.19846302439844,-80.18309326838282,6.451612903225798,4.838709677419352,-9.677419354838717,6.451612903225798,-4.841935483870972,-53.064516129032256,2017-02-28,2018-01-31,2019-01-31,2017-04-30,2020-01-31,2017-07-31,Yes,Less Closely Related,NYSE
1,0,0,1,0,-4.163742396898603,4.478651941250143,-18.993139051614246,17.982041101808232,-35.7577709325119,-36.66234124792932,4.849600982197677,1.5256588072122115,10.478654592496763,18.58366118953946,44.86853265479221,105.45308740978348,2012-06-30,2012-06-30,2012-06-30,2012-06-30,2012-06-30,2012-06-30,No,Closely Related,NYSE
